index;baseKv;Vm;Va;Pd;Qd;Pg;Qg;type;c
1;380;1;-68.99;0;0;0;0;3;0
2;380;1;-71.3;1630;0;750;0;2;1350
3;380;1;-39.31;72.74;0;0;0;1;425
4;380;1;-39.34;0;0;329.85;0;2;325
5;380;1;-35.64;0;0;1140;0;2;325
6;380;1;-68.89;1697.75;0;0;0;1;3350
7;380;1;-54.5;0;0;750;0;2;2000
8;380;1;-49.08;0;0;597.68;0;2;675
9;380;1;-59.93;146.86;0;0;0;1;950
10;380;1;-78.61;359.58;0;0;0;1;700
11;380;1;-66.08;116.66;0;0;0;1;475
12;380;1;-76.05;146.86;0;0;0;1;550
13;380;1;-67.66;219.59;0;0;0;1;600
14;380;1;-56.87;0;0;910.81;0;2;600
15;380;1;-69.34;639.57;0;0;0;1;1500
16;380;1;-71.58;146.86;0;0;0;1;425
17;380;1;-69.36;426.84;0;0;0;1;900
18;380;1;-51.81;400;0;0;0;1;850
19;380;1;-44.25;0;0;1267.63;0;2;850
20;380;1;-61.75;1342.27;0;0;0;1;3050
21;380;1;-59.63;764.46;0;0;0;1;1725
22;380;1;-64.1;214;0;0;0;1;500
23;380;1;-39.85;0;0;1924.01;0;2;700
24;380;1;-34.47;0;0;741;0;2;700
25;380;1;-71.37;497.97;0;0;0;1;825
26;380;1;-23.86;688.55;0;0;0;1;1275
27;380;1;-68.54;0;0;201.14;0;2;1500
28;380;1;-16.49;0;0;1445.03;0;2;1500
29;380;1;-77.77;0;0;664.33;0;2;1850
30;380;1;-38.95;689.56;0;0;0;1;1125
31;380;1;-27.31;0;0;534.08;0;2;1450
32;380;1;-26.64;0;0;529.31;0;2;1450
33;380;1;-25.68;0;0;148.21;0;2;1450
34;380;1;-92.52;497.97;0;0;0;1;850
35;380;1;-41.92;203;0;0;0;1;525
36;380;1;-105.93;496.01;0;0;0;1;825
37;380;1;-47.72;321.24;0;0;0;1;700
38;380;1;-42.59;223.47;0;0;0;1;550
39;380;1;-39.09;0;0;1350;0;2;425
40;380;1;-107.89;497.97;0;0;0;1;1475
41;380;1;-52.24;321.24;0;0;0;1;625
42;380;1;-39.22;0;0;473.21;0;2;475
43;380;1;-44.4;123;0;0;0;1;800
44;380;1;-119.39;496.01;0;0;0;1;875
45;380;1;-48.48;123.65;0;0;0;1;950
46;380;1;-71.87;0;0;402.28;0;2;950
