index;baseKv;Vm;Va;Pd;Qd;type;c;deletable
1;138;0.955;10.67;51;27;2;70;1
2;138;0.971;11.22;20;9;1;40;1
3;138;0.968;11.56;39;10;1;95;1
4;138;0.998;15.28;39;12;2;130;1
5;138;1.002;15.73;0;0;1;390;1
6;138;0.99;13;52;22;2;110;1
7;138;0.989;12.56;19;2;1;45;1
8;345;1.015;20.77;28;0;2;575;1
9;345;1.043;28.02;0;0;1;575;1
10;345;1.05;35.61;0;0;2;5;1
11;138;0.985;12.72;70;23;1;195;1
12;138;0.99;12.2;47;10;2;65;1
13;138;0.968;11.35;34;16;1;45;1
14;138;0.984;11.5;14;1;1;25;1
15;138;0.97;11.23;90;30;2;150;1
16;138;0.984;11.91;25;10;1;35;1
17;138;0.995;13.74;11;3;1;290;1
18;138;0.973;11.53;60;34;2;105;1
19;138;0.963;11.05;45;25;2;55;1
20;138;0.958;11.93;18;3;1;40;1
21;138;0.959;13.52;14;8;1;55;1
22;138;0.97;16.08;10;5;1;75;1
23;138;1;21;7;3;1;210;1
24;138;0.992;20.89;13;0;2;30;1
25;138;1.05;27.93;0;0;2;110;1
26;345;1.015;29.71;0;0;2;5;1
27;138;0.968;15.35;71;13;2;170;1
28;138;0.962;13.62;17;7;1;45;1
29;138;0.963;12.63;24;4;1;30;1
30;345;0.968;18.79;0;0;1;410;1
31;138;0.967;12.75;43;27;2;60;1
32;138;0.964;14.8;59;23;2;120;1
33;138;0.972;10.63;23;9;1;30;1
34;138;0.986;11.3;59;26;2;120;1
35;138;0.981;10.87;33;9;1;45;1
36;138;0.98;10.87;31;17;2;45;1
37;138;0.992;11.77;0;0;1;305;1
38;345;0.962;16.91;0;0;1;305;1
39;138;0.97;8.41;27;11;1;70;1
40;138;0.97;7.35;66;23;2;105;1
41;138;0.967;6.92;37;10;1;45;1
42;138;0.985;8.53;96;23;2;160;1
43;138;0.978;11.28;18;7;1;25;1
44;138;0.985;13.82;16;8;1;40;1
45;138;0.987;15.67;53;22;1;100;1
46;138;1.005;18.49;28;10;2;60;1
47;138;1.017;20.73;34;0;1;80;0
48;138;1.021;19.93;20;11;1;45;1
49;138;1.025;20.94;87;30;2;370;0
50;138;1.001;18.9;17;4;1;70;1
51;138;0.967;16.28;17;8;1;85;1
52;138;0.957;15.32;18;5;1;35;1
53;138;0.946;14.35;23;11;1;35;1
54;138;0.955;15.26;113;32;2;125;1
55;138;0.952;14.97;63;22;2;85;1
56;138;0.954;15.16;84;18;2;135;1
57;138;0.971;16.36;12;3;1;40;1
58;138;0.959;15.51;12;3;1;25;1
59;138;0.985;19.37;277;113;2;315;1
60;138;0.993;23.15;78;3;1;155;1
61;138;0.995;24.04;0;0;2;45;1
62;138;0.998;23.43;77;14;2;105;1
63;345;0.969;22.75;0;0;1;195;1
64;345;0.984;24.52;0;0;1;225;1
65;345;1.005;27.65;0;0;2;20;1
66;138;1.05;27.48;39;18;2;5;1
67;138;1.02;24.84;28;7;1;70;1
68;345;1.003;27.55;0;0;1;225;0
69;138;1.035;30;0;0;3;5;0
70;138;0.984;22.58;66;20;2;125;0
71;138;0.987;22.15;0;0;1;15;1
72;138;0.98;20.98;12;0;2;20;1
73;138;0.991;21.94;6;0;2;10;1
74;138;0.958;21.64;68;27;2;85;1
75;138;0.967;22.91;47;11;1;165;0
76;138;0.943;21.77;68;36;2;90;1
77;138;1.006;26.72;61;28;2;280;0
78;138;1.003;26.42;71;26;1;90;1
79;138;1.009;26.72;39;32;1;85;1
80;138;1.04;28.96;130;26;2;5;1
81;345;0.997;28.1;0;0;1;75;1
82;138;0.989;27.24;54;27;1;90;1
83;138;0.985;28.42;20;10;1;95;1
84;138;0.98;30.95;11;7;1;55;1
85;138;0.985;32.51;24;15;2;155;1
86;138;0.987;31.14;21;10;1;30;1
87;161;1.015;31.4;0;0;2;5;1
88;138;0.987;35.64;48;10;1;130;1
89;138;1.005;39.69;0;0;2;5;1
90;138;0.985;33.29;163;42;2;200;1
91;138;0.98;33.31;10;0;2;15;1
92;138;0.993;33.8;65;10;2;305;1
93;138;0.987;30.79;12;7;1;75;1
94;138;0.991;28.64;30;16;1;140;1
95;138;0.981;27.67;42;31;1;60;1
96;138;0.993;27.51;38;15;1;70;1
97;138;1.011;27.88;15;9;1;30;1
98;138;1.024;27.4;34;8;1;45;1
99;138;1.01;27.04;42;0;2;50;1
100;138;1.017;28.03;37;18;2;65;1
101;138;0.993;29.61;22;15;1;55;1
102;138;0.991;32.3;5;3;1;60;1
103;138;1.001;24.44;23;16;2;155;1
104;138;0.971;21.69;38;25;2;110;1
105;138;0.965;20.57;31;26;2;115;1
106;138;0.962;20.32;43;16;1;85;1
107;138;0.952;17.53;50;12;2;60;1
108;138;0.967;19.38;2;1;1;30;1
109;138;0.967;18.93;8;3;1;30;1
110;138;0.973;18.09;39;30;2;140;1
111;138;0.98;19.74;0;0;2;5;1
112;138;0.975;14.99;68;13;2;90;1
113;138;0.993;13.74;6;0;2;10;1
114;138;0.96;14.46;8;3;1;10;1
115;138;0.96;14.46;22;7;1;30;1
116;138;1.005;27.12;184;0;2;240;1
117;138;0.974;10.67;20;8;1;25;1
118;138;0.949;21.92;33;15;1;50;1
