busIndex;Pg;Qg;Vg;Pmin;Pmax;Qmin;Qmax
2;750;0;1;0;750;-9900;9900
4;329.85;0;1.04;0;1000;-3000;3000
5;1140;0;1.04;0;1140;-3000;3000
7;750;0;1;0;750;-3000;3000
8;597.68;0;1.04;0;1050;-3000;3000
14;712.9;0;1;0;2160;-9900;9900
14;197.91;0;1;0;400;-3000;3000
19;200;0;1;0;200;-9900;9900
19;528;0;1;0;450;-9900;9900
19;539.63;0;1;0;584;-3000;3000
23;725.66;0;1;0;750;-9900;9900
23;198.35;0;1;0;431;-9900;9900
23;1000;0;1;0;1400;-3000;3000
24;400;0;1;0;1064;-9900;9900
24;341;0;1;0;1200;-3000;3000
27;201.14;0;1.04;0;900;-3000;3000
28;1445.03;0;1.04;0;1550;-3000;3000
29;664.33;0;1.04;0;1500;-3000;3000
31;102.16;0;1;0;300;-9900;9900
31;431.92;0;1;0;515;-3000;3000
32;529.31;0;1.04;0;600;-3000;3000
33;148.21;0;1.04;0;600;-3000;3000
39;1350;0;1.04;0;1350;-3000;3000
42;473.21;0;1.04;0;506;-3000;3000
46;402.28;0;1.04;0;600;-3000;3000
50;849.02;0;1.04;0;1000;-3000;3000
51;677.97;0;1.04;0;700;-3000;3000
52;204.32;0;1.04;0;250;-3000;3000
53;980.76;0;1.04;0;1200;-3000;3000
54;949.63;0;1.04;0;1000;-3000;3000
61;148.21;0;1.04;0;600;-3000;3000
64;515;0;1.04;0;515;-3000;3000
68;97.93;0;1.04;0;370;-3000;3000
71;129.56;0;1.04;0;460;-3000;3000
72;582.27;0;1.04;0;3500;-3000;3000
75;254.07;0;1;0;1200;-9900;9900
75;482;0;1;0;1000;-3000;3000
76;264.66;0;1.04;0;1000;-3000;3000
78;92.63;0;1.04;0;350;-3000;3000
79;95.28;0;1.04;0;400;-3000;3000
80;497.56;0;1.04;0;2000;-3000;3000
81;95.28;0;1.04;0;400;-3000;3000
83;130.77;0;1.04;0;160;-3000;3000
84;95.28;0;1.04;0;410;-3000;3000
87;66.17;0;1.04;0;250;-3000;3000
90;463.16;0;1.04;0;1750;-3000;3000
91;68.81;0;1.04;0;300;-3000;3000
97;770.68;0;1;0;800;-9900;9900
97;317.59;0;1;0;450;-9900;9900
97;500;0;1;0;500;-3000;3000
98;150.86;0;1.04;0;570;-3000;3000
101;588.4;0;1.04;0;1550;-3000;3000
114;206.43;0;1.04;0;820;-3000;3000
126;423.45;0;1.04;0;800;-3000;3000
127;476.38;0;1.04;0;2000;-3000;3000
128;1058.63;0;1.04;0;1600;-3000;3000
132;919.23;0;1.04;0;1087;-3000;3000
133;349.35;0;1.04;0;1400;-3000;3000
136;1905.57;0;1.04;0;2000;-3000;3000
138;1634.6;0;1.04;0;2000;-3000;3000
141;1307.68;0;1.04;0;1600;-3000;3000
143;950.66;0;1.04;0;1102;-3000;3000
144;1019.48;0;1.04;0;1070;-3000;3000
152;704;0;1.04;0;800;-3000;3000
153;185.26;0;1.04;0;700;-3000;3000
159;980.76;0;1.04;0;1200;-3000;3000
160;130.77;0;1.04;0;160;-3000;3000
161;291.13;0;1.04;0;1100;-3000;3000
162;846.5;0;1.04;0;3200;-3000;3000
163;211.73;0;1.04;0;800;-3000;3000
164;1905.57;0;1.04;0;2000;-3000;3000
165;400;0;1.04;0;500;-3000;3000
166;198.5;0;1.04;0;750;-3000;3000
174;204.32;0;1.04;0;250;-3000;3000
176;52.93;0;1;0;200;-9900;9900
176;264.66;0;1;0;1000;-9900;9900
176;762.23;0;1;0;800;-3000;3000
184;264.66;0;1.04;0;1000;-3000;3000
193;446.74;0;1;0;1260;-9900;9900
199;3600;0;1.04;0;3600;-3000;3000
201;451.97;0;1;0;553;-9900;9900
201;1716.33;0;1;0;2100;-3000;3000
207;948.07;0;1.04;0;1160;-3000;3000
208;121.75;0;1.04;0;460;-3000;3000
215;1683.22;0;1.04;0;1800;-3000;3000
216;1587.94;0;1.04;0;1600;-3000;3000
217;615.78;0;1.04;0;800;-3000;3000
218;5400;0;1.04;0;5400;-3000;3000
222;600;0;1.04;0;600;-3000;3000
226;267.5;0;1.04;0;300;-3000;3000
228;2000;0;1.04;0;2900;-3000;3000
231;2358.8;0;1.04;0;2600;-3000;3000
233;48.78;0;1.04;0;1000;-3000;3000
235;4618;0;1.04;0;5200;-3000;3000
244;5010.25;0;1.04;0;5200;-3000;3000
248;1337.49;0;1.04;0;1500;-3000;3000
250;2225.79;0;1.04;0;2600;-3000;3000
255;1386.27;0;1.04;0;1500;-3000;3000
257;539.87;0;1.04;0;600;-3000;3000
273;438.98;0;1.04;0;1000;-3000;3000
274;713.33;0;1.04;0;800;-3000;3000
275;365.82;0;1.04;0;1500;-3000;3000
278;178.33;0;1;0;200;-9900;9900
278;1425.29;0;1;0;1500;-3000;3000
289;1515.83;0;1.04;0;1700;-3000;3000
300;89.17;0;1;0;240;-9900;9900
300;605;0;1;0;465;-3000;3000
304;2358.8;0;1.04;0;2600;-3000;3000
313;891.66;0;1.04;0;1000;-3000;3000
315;1662.28;0;1.04;0;1800;-3000;3000
344;58.53;0;1.04;0;400;-3000;3000
348;1535.46;0;1.04;0;1800;-3000;3000
352;1542.29;0;1.04;0;1700;-3000;3000
357;2358.8;0;1.04;0;2600;-3000;3000
370;2826.49;0;1.04;0;3600;-3000;3000
373;953;0;1;0;1200;-3000;3000
373;1042.39;0;1;0;1500;-9900;9900
387;905.38;0;1.04;0;2000;-3000;3000
394;170.71;0;1.04;0;300;-3000;3000
398;390.21;0;1.04;0;2000;-3000;3000
407;195.11;0;1.04;0;1800;-3000;3000
422;195.1;0;1.04;0;1000;-3000;3000
424;585.3;0;1.04;0;800;-3000;3000
427;510.18;0;1.04;0;2000;-3000;3000
437;243.88;0;1.04;0;1000;-3000;3000
439;138.98;0;1.04;0;500;-3000;3000
443;35;0;1.04;0;500;-3000;3000
444;438.98;0;1.04;0;1000;-3000;3000
445;3361.13;0;1.04;0;3600;-3000;3000
449;2731.39;0;1.04;0;3600;-3000;3000
454;365.81;0;1.04;0;700;-3000;3000
458;1750;0;1.04;0;3000;-3000;3000
460;3166.03;0;1.04;0;3600;-3000;3000
461;438.98;0;1.04;0;1000;-3000;3000
466;2358.75;0;1.04;0;2600;-3000;3000
467;243.88;0;1.04;0;1000;-3000;3000
469;682.86;0;1.04;0;2000;-3000;3000
478;3461.13;0;1.04;0;3600;-3000;3000
480;731.63;0;1.04;0;1600;-3000;3000
486;1386.18;0;1.04;0;1500;-3000;3000
488;468.24;0;1.04;0;1200;-3000;3000
490;2438.74;0;1.04;0;2600;-3000;3000
492;513.11;0;1;0;1000;-9900;9900
492;827.22;0;1;0;1600;-3000;3000
493;535;0;1.04;0;600;-3000;3000
494;713.33;0;1.04;0;800;-3000;3000
497;731.62;0;1.04;0;900;-3000;3000
531;1128;0;1.04;0;2400;-3000;3000
535;2300;0;1.04;0;2500;-3000;3000
539;700;0;1;0;700;-9900;9900
539;919;0;1;0;1000;-3000;3000
540;459.73;0;1.04;0;550;-3000;3000
541;2750;0;1.04;0;2750;-3000;3000
545;50;0;1.04;0;350;-3000;3000
547;1788.13;0;1.04;0;2450;-3000;3000
548;1347.13;0;1.04;0;1500;-3000;3000
550;240.63;0;1.04;0;350;-3000;3000
551;388.85;0;1.04;0;1450;-3000;3000
555;0;0;1.04;0;131;-3000;3000
556;1200;0;1.04;0;1200;-3000;3000
558;1445;0;1.04;0;1245;-3000;3000
559;810.64;0;1.04;0;730;-3000;3000
569;902.97;0;1.04;0;980;-3000;3000
572;0.25;0;1;0;1000;-9900;9900
574;0;0;1.04;0;500;-3000;3000
575;1120;0;1.04;0;1020;-3000;3000
576;361.51;0;1.04;0;580;-3000;3000
577;386.92;0;1.04;0;1000;-3000;3000
578;298.38;0;1.04;0;440;-3000;3000
579;225.44;0;1.04;0;500;-3000;3000
580;0;0;1.04;0;1000;-3000;3000
581;139.37;0;1.04;0;900;-3000;3000
582;119.58;0;1.04;0;355;-3000;3000
583;307.41;0;1.04;0;500;-3000;3000
585;704.58;0;1.04;0;1000;-3000;3000
592;106.2;0;1.04;0;600;-3000;3000
593;555.88;0;1.04;0;1120;-3000;3000
594;448.4;0;1.04;0;1000;-3000;3000
595;827.41;0;1.04;0;1160;-3000;3000
596;249.89;0;1.04;0;400;-3000;3000
599;790;0;1.04;0;800;-3000;3000
601;313.14;0;1.04;0;700;-3000;3000
602;295.12;0;1.04;0;700;-3000;3000
603;74.47;0;1.04;0;284;-3000;3000
604;424.21;0;1.04;0;876;-3000;3000
606;83.79;0;1.04;0;100;-3000;3000
607;884.38;0;1;0;1000;-9900;9900
607;813.88;0;1;0;2065;-3000;3000
610;1490.54;0;1;0;1700;-9900;9900
610;557.16;0;1;0;630;-3000;3000
616;380;0;1;0;380;-9900;9900
616;1400;0;1;0;1300;-3000;3000
617;884.38;0;1;0;1000;-9900;9900
617;1768.76;0;1;0;2000;-3000;3000
619;2590.5;0;1;0;2900;-9900;9900
619;775.37;0;1;0;1746;-3000;3000
621;752.4;0;1;0;1000;-9900;9900
621;691.12;0;1;0;2050;-3000;3000
623;992.55;0;1.04;0;1600;-3000;3000
624;600;0;1.04;0;600;-3000;3000
627;300;0;1;0;300;-9900;9900
627;800;0;1;0;800;-9900;9900
627;1980;0;1;0;1280;-3000;3000
629;64.98;0;1.04;0;450;-3000;3000
630;50.51;0;1.04;0;700;-3000;3000
631;326.84;0;1.04;0;1150;-3000;3000
632;810.66;0;1.04;0;1350;-3000;3000
634;1049.98;0;1.04;0;1050;-3000;3000
637;128.68;0;1.04;0;500;-3000;3000
638;53.72;0;1;0;1000;-9900;9900
638;264.12;0;1;0;350;-3000;3000
640;257.36;0;1.04;0;1000;-3000;3000
645;514.71;0;1;0;2600;-9900;9900
645;308.83;0;1;0;1000;-3000;3000
647;25.74;0;1.04;0;500;-3000;3000
658;538.33;0;1.04;0;700;-3000;3000
667;1836.34;0;1;0;2100;-9900;9900
667;951.38;0;1;0;1500;-3000;3000
669;880.66;0;1.04;0;2200;-3000;3000
671;1192.77;0;1;0;1840;-9900;9900
671;1105.79;0;1;0;1500;-3000;3000
675;1073.35;0;1;0;1530;-9900;9900
675;856.25;0;1;0;1350;-3000;3000
676;727.09;0;1.04;0;2250;-3000;3000
677;1571.5;0;1.04;0;2640;-3000;3000
679;951.38;0;1.04;0;1500;-3000;3000
680;742.08;0;1;0;1170;-9900;9900
680;211.42;0;1;0;800;-3000;3000
681;301.53;0;1.04;0;800;-3000;3000
682;1522.22;0;1.04;0;2400;-3000;3000
690;1712.49;0;1.04;0;2700;-3000;3000
694;253.7;0;1.04;0;400;-3000;3000
697;257.36;0;1.04;0;1000;-3000;3000
698;399.99;0;1.04;0;400;-3000;3000
704;919.98;0;1.04;0;920;-3000;3000
705;721.59;0;1.04;0;1300;-3000;3000
708;195.6;0;1.04;0;1900;-3000;3000
713;317.13;0;1;0;500;-9900;9900
713;95.14;0;1;0;150;-9900;9900
714;158.56;0;1;0;250;-9900;9900
714;697.68;0;1;0;1100;-3000;3000
717;205.88;0;1.04;0;800;-3000;3000
719;1046.52;0;1.04;0;1650;-3000;3000
721;39.64;0;1;0;150;-9900;9900
721;1268.51;0;1;0;2000;-3000;3000
724;136.4;0;1;0;530;-9900;9900
726;2441.89;0;1.04;0;3850;-3000;3000
727;697.68;0;1;0;1100;-9900;9900
728;1674.44;0;1;0;2640;-9900;9900
728;1014.81;0;1;0;1600;-3000;3000
731;463.24;0;1.04;0;1800;-3000;3000
733;180.15;0;1.04;0;700;-3000;3000
736;154.41;0;1.04;0;600;-3000;3000
739;1141.66;0;1;0;1800;-9900;9900
739;2537.03;0;1;0;4000;-3000;3000
741;887.96;0;1.04;0;1400;-3000;3000
742;1014.81;0;1.04;0;1600;-3000;3000
744;507.41;0;1.04;0;800;-3000;3000
746;244.49;0;1;0;950;-9900;9900
750;2537.03;0;1.04;0;4000;-3000;3000
751;128.68;0;1.04;0;500;-3000;3000
755;134.58;0;1;0;700;-9900;9900
755;811.85;0;1;0;1280;-3000;3000
758;158.56;0;1;0;600;-9900;9900
758;369.81;0;1;0;1060;-3000;3000
764;1244.1;0;1.04;0;2200;-3000;3000
768;395.79;0;1.04;0;2500;-3000;3000
771;273.63;0;1.04;0;343;-3000;3000
772;399.39;0;1;0;1294;-9900;9900
772;234.5;0;1;0;508;-3000;3000
779;655.72;0;1;0;771;-3000;3000
779;367.39;0;1;0;430;-9900;9900
783;1377.89;0;1;0;1410;-3000;3000
783;316.28;0;1;0;361;-9900;9900
785;607.43;0;1.04;0;820;-3000;3000
788;148.15;0;1;0;200;-9900;9900
788;148.15;0;1;0;200;-3000;3000
789;1776.17;0;1;0;5438;-9900;9900
789;986.64;0;1;0;1200;-3000;3000
790;73.29;0;1.04;0;300;-3000;3000
793;296.31;0;1.04;0;400;-3000;3000
794;1000;0;1.04;0;1000;-3000;3000
798;122.16;0;1.04;0;500;-3000;3000
799;1314.37;0;1;0;1345;-3000;3000
799;296.31;0;1;0;400;-9900;9900
803;444.46;0;1.04;0;600;-3000;3000
805;270.38;0;1.04;0;500;-3000;3000
808;118.52;0;1.04;0;160;-3000;3000
814;991.7;0;1;0;3213;-9900;9900
814;219.27;0;1;0;296;-3000;3000
816;511.13;0;1.04;0;690;-3000;3000
818;320.01;0;1.04;0;432;-3000;3000
820;244.31;0;1.04;0;1000;-3000;3000
821;1196.15;0;1.04;0;1360;-3000;3000
822;640.1;0;1.04;0;2620;-3000;3000
823;719.96;0;1;0;840;-9900;9900
823;1301.01;0;1;0;1329;-3000;3000
825;640.76;0;1.04;0;1000;-3000;3000
829;3296.4;0;1.04;0;4450;-3000;3000
832;1970.13;0;1.04;0;2240;-3000;3000
833;1585.23;0;1.04;0;2140;-3000;3000
835;2018.59;0;1.04;0;3400;-3000;3000
842;422.16;0;1.04;0;500;-3000;3000
844;242.04;0;1.04;0;1000;-3000;3000
852;588.62;0;1.04;0;2000;-3000;3000
855;937.81;0;1.04;0;1266;-3000;3000
858;622.24;0;1.04;0;840;-3000;3000
859;171.02;0;1.04;0;700;-3000;3000
861;272.66;0;1.04;0;500;-3000;3000
862;296.31;0;1;0;400;-9900;9900
862;814.84;0;1;0;1100;-3000;3000
867;637.06;0;1;0;860;-9900;9900
867;2963.05;0;1;0;4000;-3000;3000
869;1111.14;0;1.04;0;1500;-3000;3000
871;1674.12;0;1.04;0;2260;-3000;3000
875;496.31;0;1.04;0;670;-3000;3000
878;122.23;0;1.04;0;165;-3000;3000
886;598.56;0;1.04;0;2450;-3000;3000
889;397.73;0;1.04;0;500;-3000;3000
893;592.61;0;1;0;800;-9900;9900
893;1656.46;0;1;0;2500;-3000;3000
895;318.53;0;1;0;430;-9900;9900
895;3481.59;0;1;0;4700;-3000;3000
896;481.5;0;1.04;0;650;-3000;3000
903;4485.6;0;1;0;5000;-3000;3000
903;156.3;0;1;0;211;-9900;9900
915;1187.36;0;1.04;0;1350;-3000;3000
916;109.94;0;1.04;0;450;-3000;3000
921;97.72;0;1.04;0;400;-3000;3000
922;73.29;0;1;0;300;-3000;3000
922;293.17;0;1;0;1200;-9900;9900
926;74.08;0;1.04;0;100;-3000;3000
928;925.95;0;1.04;0;1275;-3000;3000
929;87.41;0;1;0;118;-9900;9900
929;1680.11;0;1;0;2400;-9900;9900
932;2000.82;0;1.04;0;2386;-3000;3000
933;2457.58;0;1.04;0;2572;-3000;3000
935;498.58;0;1.04;0;772;-3000;3000
939;2592.67;0;1.04;0;3500;-3000;3000
940;1934.58;0;1;0;2282;-3000;3000
940;1813.45;0;1;0;2850;-9900;9900
944;1801.36;0;1.04;0;1937;-3000;3000
951;497.09;0;1;0;750;-9900;9900
951;286.49;0;1;0;2350;-3000;3000
952;1205.25;0;1.04;0;1350;-3000;3000
953;2496.67;0;1.04;0;2572;-3000;3000
954;579.22;0;1;0;650;-9900;9900
954;1025.74;0;1;0;1160;-3000;3000
955;112.35;0;1;0;364;-9900;9900
955;394.89;0;1;0;800;-3000;3000
955;535.58;0;1;0;858;-9900;9900
960;2044.22;0;1.04;0;2100;-3000;3000
965;279.24;0;1.04;0;343;-3000;3000
989;0;0;1.04;0;109;-3000;3000
991;0;0;1.04;0;800;-3000;3000
996;138.91;0;1;0;500;-9900;9900
996;200;0;1;0;200;-3000;3000
997;334.47;0;1;0;700;-9900;9900
997;400;0;1;0;400;-3000;3000
998;371.64;0;1;0;1500;-9900;9900
998;749.39;0;1;0;780;-3000;3000
999;950;0;1.04;0;900;-3000;3000
1000;181.36;0;1.04;0;500;-3000;3000
1001;313.62;0;1.04;0;400;-3000;3000
1002;741.91;0;1.04;0;900;-3000;3000
1004;711.7;0;1.04;0;1900;-3000;3000
1012;181.36;0;1.04;0;500;-3000;3000
1013;73.32;0;1;0;700;-3000;3000
1013;100;0;1;0;100;-9900;9900
1014;290.17;0;1.04;0;800;-3000;3000
1015;72.55;0;1.04;0;800;-3000;3000
1017;538.4;0;1.04;0;360;-3000;3000
1019;290.17;0;1.04;0;800;-3000;3000
1021;0;0;1.04;0;600;-3000;3000
1022;217.63;0;1.04;0;600;-3000;3000
1023;700;0;1.04;0;700;-3000;3000
1024;300;0;1.04;0;800;-3000;3000
1025;0;0;1.04;0;124;-3000;3000
1026;296.64;0;1.04;0;600;-3000;3000
1027;217.63;0;1.04;0;600;-3000;3000
1028;600;0;1.04;0;600;-3000;3000
1029;362.15;0;1.04;0;700;-3000;3000
1030;220;0;1;0;220;-3000;3000
1031;50;0;1;0;100;-9900;9900
1032;325.32;0;1.04;0;1200;-3000;3000
1033;576.73;0;1;0;850;-3000;3000
1033;576.73;0;1;0;850;-9900;9900
1037;1153.45;0;1.04;0;1700;-3000;3000
1038;325.32;0;1.04;0;1200;-3000;3000
1039;1153.45;0;1.04;0;1700;-3000;3000
1041;199.15;0;1.04;0;800;-3000;3000
1042;602.49;0;1.04;0;800;-3000;3000
1045;99.15;0;1;0;800;-9900;9900
1046;753.12;0;1.04;0;1000;-3000;3000
1048;376.56;0;1;0;500;-9900;9900
1048;301.25;0;1;0;400;-3000;3000
1049;677.8;0;1.04;0;900;-3000;3000
1050;629.67;0;1.04;0;1500;-3000;3000
1054;753.12;0;1;0;1000;-9900;9900
1054;47.07;0;1;0;150;-3000;3000
1059;1682.79;0;1.04;0;2500;-3000;3000
1066;225.93;0;1;0;300;-3000;3000
1066;141.21;0;1;0;450;-9900;9900
1071;901.25;0;1;0;900;-3000;3000
1071;1893;0;1;0;1900;-9900;9900
1072;1702.72;0;1.04;0;1900;-3000;3000
1074;614.3;0;1.04;0;700;-3000;3000
1082;494.3;0;1.04;0;700;-3000;3000
1085;295.42;0;1.04;0;800;-3000;3000
1101;802;0;1.04;0;2000;-3000;3000
1102;1662.89;0;1.04;0;2500;-3000;3000
1107;2471.53;0;1.04;0;3500;-3000;3000
1110;635.54;0;1.04;0;900;-3000;3000
1122;4236.9;0;1.04;0;6000;-3000;3000
1128;353.08;0;1.04;0;500;-3000;3000
1139;2077;0;1.04;0;2800;-3000;3000
1141;1817;0;1.04;0;2800;-3000;3000
1146;635.54;0;1.04;0;900;-3000;3000
1153;596.79;0;1.04;0;700;-3000;3000
1159;208.31;0;1.04;0;295;-3000;3000
1160;474.94;0;1.04;0;600;-3000;3000
1162;1404;0;1.04;0;1625;-3000;3000
1163;100;0;1;0;1000;-9900;9900
1164;420.16;0;1.04;0;595;-3000;3000
1165;1319.66;0;1.04;0;1575;-3000;3000
1166;1497.23;0;1.04;0;1830;-3000;3000
1167;179.36;0;1.04;0;700;-3000;3000
1174;110.51;0;1;0;170;-9900;9900
1174;320;0;1;0;800;-3000;3000
1176;650.04;0;1.04;0;1000;-3000;3000
1183;785;0;1.04;0;900;-3000;3000
1184;227.52;0;1;0;350;-9900;9900
1184;1741.86;0;1;0;3000;-3000;3000
1190;1900;0;1.04;0;1900;-3000;3000
1199;238.43;0;1.04;0;1000;-3000;3000
1200;364.43;0;1;0;500;-9900;9900
1200;341.94;0;1;0;600;-3000;3000
1209;691.94;0;1.04;0;690;-3000;3000
1213;41.43;0;1.04;0;1050;-3000;3000
1215;158.96;0;1;0;1400;-9900;9900
1215;1390.87;0;1;0;2200;-3000;3000
1219;340.66;0;1.04;0;361;-3000;3000
1221;486.28;0;1.04;0;800;-3000;3000
1222;129.67;0;1.04;0;200;-3000;3000
1223;745.62;0;1.04;0;800;-3000;3000
1224;291.76;0;1.04;0;650;-3000;3000
1232;300;0;1.04;0;700;-3000;3000
1233;100;0;1.04;0;600;-3000;3000
1234;102.33;0;1.04;0;500;-3000;3000
1236;127.87;0;1.04;0;400;-3000;3000
1237;130.07;0;1.04;0;450;-3000;3000
1238;568.86;0;1.04;0;600;-3000;3000
1242;487.88;0;1.04;0;650;-3000;3000
1250;1618;0;1;0;2000;-9900;9900
1257;867.2;0;1.04;0;1200;-3000;3000
1257;360;0;1.04;0;360;-3000;3000
1258;758.92;0;1.04;0;850;-3000;3000
1259;350;0;1;0;350;-9900;9900
1261;150;0;1.04;0;150;-3000;3000
1262;350;0;1;0;350;-9900;9900
1265;2.25;0;1.04;0;8.5;-3000;3000
1265;70;0;1.04;0;70;-3000;3000
1265;254.61;0;1.04;0;400;-3000;3000
1265;53.04;0;1.04;0;200;-3000;3000
1265;277.53;0;1.04;0;436;-3000;3000
1267;291.46;0;1;0;900;-9900;9900
1268;158.31;0;1.04;0;200;-3000;3000
1269;414.45;0;1.04;0;1300;-3000;3000
1269;342.1;0;1.04;0;700;-3000;3000
1270;254.62;0;1.04;0;400;-3000;3000
1270;106.09;0;1.04;0;400;-3000;3000
1270;39.78;0;1.04;0;150;-3000;3000
1270;605.05;0;1.04;0;1600;-3000;3000
1271;279.05;0;1.04;0;600;-3000;3000
