fromBus;toBus;r;x;b;alpha;c;deletable
1;2;0;0.02348;0;0,15;0;0
1;2;0;0.02345;0;0,11;0;0
1;79;0;0.02073;0;0,11;0;0
6;2;0;0.01533;0;0,09;355;1
6;2;0;0.01603;0;0,13;300;1
4;3;0;0.05409;0;0,13;185;1
5;3;0;0.08701;0;0,08;185;1
4;8;0;0.10355;0;0,07;225;1
8;4;0;0.10192;0;0,14;240;1
5;7;0;0.03086;0;0,14;1310;1
6;7;0;0.03288;0;0,14;920;1
6;7;0;0.06928;0;0,06;375;1
6;7;0;0.07738;0;0,11;350;1
7;6;0;0.0342;0;0,1;855;1
10;6;0;0.06738;0;0,14;275;1
20;6;0;0.08181;0;0,11;220;1
20;6;0;0.08486;0;0,12;220;1
7;8;0;0.03422;0;0,11;300;1
8;7;0;0.10063;0;0,12;185;1
9;8;0;0.0695;0;0,11;300;1
9;8;0;0.07077;0;0,15;300;1
8;127;0;0.0596;0;0,11;185;1
8;133;0;0.04468;0;0,11;185;1
11;9;0;0.05734;0;0,11;270;1
13;9;0;0.06538;0;0,11;295;1
12;10;0;0.04151;0;0,13;185;1
13;11;0;0.03911;0;0,05;185;1
12;15;0;0.04595;0;0,12;275;1
15;13;0;0.10509;0;0,12;185;1
15;13;0;0.10067;0;0,06;185;1
15;14;0;0.0239;0;0,13;1100;1
15;16;0;0.05326;0;0,13;185;1
15;17;0;0.07751;0;0,08;185;1
17;16;0;0.05277;0;0,12;185;1
20;17;0;0.05854;0;0,1;320;1
20;17;0;0.04853;0;0,1;345;1
19;18;0;0.02887;0;0,1;500;1
18;165;0;0.00575;0;0,12;185;1
20;19;0;0.03769;0;0,08;890;1
20;21;0;0.06336;0;0,15;185;1
20;21;0;0.03603;0;0,06;185;1
21;20;0;0.02275;0;0,1;230;1
22;20;0;0.1024;0;0,12;185;1
20;23;0;0.0365;0;0,13;1225;1
22;21;0;0.04487;0;0,12;245;1
23;21;0;0.02735;0;0,07;1410;1
24;23;0;0.05243;0;0,06;245;1
24;23;0;0.04553;0;0,13;290;1
24;190;0;0.08605;0;0,12;400;1
27;25;0;0.02092;0;0,1;330;1
27;25;0;0.01888;0;0,13;300;1
26;28;0;0.01544;0;0,1;935;1
31;26;0;0.04173;0;0,12;220;1
29;27;0;0.02338;0;0,14;825;1
69;27;0;0.0358;0;0,07;1090;1
28;31;0;0.03084;0;0,09;675;1
29;34;0;0.05167;0;0,09;550;1
29;36;0;0.09907;0;0,07;525;1
29;40;0;0.05288;0;0,08;1110;1
29;46;0;0.05976;0;0,06;235;1
29;61;0;0.11974;0;0,1;300;1
29;79;0;0.12431;0;0,09;250;1
31;30;0;0.02725;0;0,12;845;1
35;30;0;0.18509;0;0,08;185;1
35;30;0;0.18427;0;0,06;185;1
31;32;0;0.01114;0;0,13;185;1
33;31;0;0.01922;0;0,08;210;1
31;47;0;0.13426;0;0,13;305;1
31;51;0;0.02187;0;0,14;655;1
32;51;0;0.03249;0;0,1;475;1
38;35;0;0.03555;0;0,06;185;1
42;35;0;0.02622;0;0,1;250;1
43;37;0;0.01839;0;0,09;355;1
37;45;0;0.03107;0;0,13;185;1
37;45;0;0.03587;0;0,09;185;1
37;49;0;0.02353;0;0,1;185;1
42;38;0;0.02651;0;0,11;305;1
38;64;0;0.10463;0;0,05;185;1
43;39;0;0.02113;0;0,13;500;1
49;39;0;0.03257;0;0,15;460;1
49;39;0;0.0209;0;0,1;700;1
39;495;0;0.08118;0;0,06;210;1
39;515;0;0.08438;0;0,12;185;1
44;40;0;0.04046;0;0,13;550;1
45;41;0;0.02078;0;0,08;410;1
41;48;0;0.04416;0;0,11;185;1
54;42;0;0.03793;0;0,07;260;1
57;42;0;0.04225;0;0,13;300;1
45;60;0;0.07579;0;0,1;185;1
45;64;0;0.01624;0;0,11;475;1
70;45;0;0.0555;0;0,13;185;1
45;88;0;0.1284;0;0,06;185;1
55;46;0;0.06678;0;0,13;320;1
47;63;0;0.05378;0;0,11;185;1
48;49;0;0.03258;0;0,1;325;1
48;59;0;0.03903;0;0,12;185;1
58;49;0;0.04732;0;0,05;310;1
59;49;0;0.01855;0;0,06;475;1
64;49;0;0.04336;0;0,11;185;1
49;65;0;0.11351;0;0,13;185;1
49;65;0;0.1083;0;0,13;185;1
63;50;0;0.06031;0;0,12;1015;1
51;54;0;0.03914;0;0,11;185;1
63;51;0;0.04515;0;0,13;525;1
105;51;0;0.02751;0;0,09;1350;1
56;52;0;0.02997;0;0,06;270;1
69;53;0;0.01599;0;0,13;1190;1
54;70;0;0.02292;0;0,11;920;1
55;74;0;0.04521;0;0,12;300;1
57;56;0;0.09463;0;0,1;185;1
56;88;0;0.07783;0;0,11;185;1
59;58;0;0.03497;0;0,06;185;1
59;95;0;0.09639;0;0,13;185;1
88;60;0;0.08339;0;0,15;185;1
61;63;0;0.12575;0;0,05;220;1
79;61;0;0.06433;0;0,1;245;1
61;80;0;0.06031;0;0,08;205;1
67;62;0;0.02955;0;0,05;350;1
63;69;0;0.00605;0;0,1;500;1
63;73;0;0.0435;0;0,14;185;1
76;63;0;0.02757;0;0,12;245;1
80;63;0;0.02861;0;0,14;475;1
63;105;0;0.23205;0;0,13;185;1
64;67;0;0.03905;0;0,14;325;1
70;64;0;0.0479;0;0,13;185;1
64;95;0;0.07112;0;0,09;265;1
97;64;0;0.07379;0;0,1;525;1
65;77;0;0.05136;0;0,08;325;1
82;65;0;0.04502;0;0,1;185;1
66;86;0;0.01924;0;0,08;300;1
67;85;0;0.07118;0;0,05;220;1
88;67;0;0.11507;0;0,1;185;1
68;69;0;0.04837;0;0,14;185;1
69;73;0;0.0397;0;0,08;185;1
69;105;0;0.20714;0;0,11;185;1
69;105;0;0.06601;0;0,14;205;1
105;69;0;0.03247;0;0,1;300;1
73;70;0;0.05862;0;0,14;185;1
73;70;0;0.05993;0;0,1;185;1
70;95;0;0.02719;0;0,07;475;1
79;71;0;0.0549;0;0,12;325;1
80;71;0;0.05105;0;0,11;185;1
80;71;0;0.05089;0;0,09;185;1
72;83;0;0.02887;0;0,12;675;1
74;79;0;0.06329;0;0,13;275;1
74;79;0;0.02933;0;0,09;575;1
77;75;0;0.12732;0;0,1;575;1
75;84;0;0.07673;0;0,1;205;1
75;107;0;0.07719;0;0,1;390;1
75;531;0;0.04977;0;0,13;185;1
80;76;0;0.01579;0;0,12;500;1
78;115;0;0.04348;0;0,1;185;1
79;80;0;0.01766;0;0,13;1385;1
80;87;0;0.05234;0;0,15;185;1
80;91;0;0.04809;0;0,1;185;1
80;98;0;0.14331;0;0,06;185;1
84;81;0;0.04475;0;0,12;185;1
97;82;0;0.06533;0;0,12;375;1
83;93;0;0.05018;0;0,12;475;1
83;96;0;0.10203;0;0,09;340;1
93;84;0;0.10716;0;0,1;185;1
85;89;0;0.04601;0;0,12;275;1
90;86;0;0.0734;0;0,14;325;1
93;86;0;0.03013;0;0,1;240;1
87;92;0;0.04796;0;0,08;185;1
88;99;0;0.11827;0;0,05;185;1
99;88;0;0.12187;0;0,15;185;1
89;94;0;0.03254;0;0,07;350;1
90;103;0;0.06485;0;0,1;255;1
92;105;0;0.21646;0;0,14;185;1
93;118;0;0.13996;0;0,11;185;1
122;93;0;0.08512;0;0,12;185;1
94;97;0;0.02965;0;0,14;475;1
